Date,Open,High,Low,Close,Volume
2014-09-18,99.84,100.29,99.73,100.28,30196700
2014-09-19,100.46,100.56,99.58,99.98,46918000
2014-09-22,99.74,99.75,98.62,99.05,48658000
2014-09-23,98.65,99.22,98.58,98.78,33989600
2014-09-24,98.88,99.89,98.54,99.84,35959000
2014-09-25,99.52,99.65,97.7,97.74,68642500
2014-09-26,98.06,98.96,97.89,98.78,56106200
2014-09-29,97.8,98.92,97.75,98.65,33342700
2014-09-30,98.92,99.3,98.32,98.79,41834300
2014-10-01,98.51,98.61,96.9,97.21,58164900
2014-10-02,97.17,97.51,95.97,97.21,54501300
2014-10-03,97.78,98.57,97.44,98.17,41627800
2014-10-06,98.48,98.72,97.66,97.96,36038700
2014-10-07,97.5,97.78,96.56,96.57,45154000
2014-10-08,96.62,98.76,96.06,98.45,64931600
2014-10-09,98.32,98.57,96.71,96.86,62497100
2014-10-10,96.29,96.83,94.42,94.44,77579400
2014-10-13,94.27,94.99,92.88,92.96,80835900
2014-10-14,93.54,94.17,92.71,92.97,71814500
2014-10-15,91.57,92.76,90.24,92.37,108847800
2014-10-16,90.42,92.58,90.39,91.79,93165800
2014-10-17,93.0,93.89,92.46,93.0,69546700
2014-10-20,92.99,94.47,92.8,94.39,41479300
2014-10-21,95.56,96.87,95.32,96.87,53609800
2014-10-22,97.17,97.3,96.31,96.37,39178000
2014-10-23,97.34,98.36,97.17,97.82,48123800
2014-10-24,98.03,98.69,97.64,98.62,43157600
2014-10-27,98.43,98.87,98.02,98.69,29545700
2014-10-28,99.15,100.2,99.08,100.18,34495100
2014-10-29,99.85,100.12,99.1,99.81,40552800
2014-10-30,99.36,100.26,99.14,100.02,35935800
2014-10-31,101.68,101.75,101.07,101.4,54254100
2014-11-03,101.58,101.97,101.43,101.7,33481000
2014-11-04,101.38,101.62,100.67,101.36,22773300
2014-11-05,102.03,102.03,101.02,101.37,25818600
2014-11-06,101.36,101.72,100.92,101.69,24671900
2014-11-07,101.87,101.91,101.07,101.6,20931700
2014-11-10,101.65,102.09,101.38,101.96,20360000
2014-11-11,101.98,102.28,101.7,102.28,15454000
2014-11-12,101.87,102.57,101.87,102.46,22050300
2014-11-13,102.65,103.28,102.42,102.9,28027800
2014-11-14,102.87,103.22,102.53,103.22,19251300
