Date,Open,High,Low,Close,Volume,rsi,awesome_oscillator,force_index,ease_of_movement,ease_of_movement_signal,bbands_upper,bbands_middle,bbands_lower,atr,macd,macd_signal,aroon,aroon_up,aroon_down
2014-03-12,18.31999969,18.55800056,18.18050003,18.53199959,44332000,58.70250015,0.49539998,2322155.04420444,-0.11304031,0.00644951,18.85480592,18.36245003,17.87009413,0.38445132,0.0844117,-0.02291104,40.0,75.0,35.0
2014-03-13,18.83099937,19.15550041,18.40399933,18.57550049,136580000,59.88201545,0.55094995,2980191.02865439,0.22586826,0.03500968,18.86312925,18.41935005,17.97557085,0.42115629,0.09497527,0.00066622,40.0,70.0,30.0
2014-03-14,18.63999939,18.92849922,18.57749939,18.68700027,88044000,62.89980721,0.61547486,4223226.69467586,-0.01066449,0.02423498,18.89290436,18.47755013,18.06219589,0.41434054,0.11080412,0.0226938,75.0,100.0,25.0
2014-03-17,18.7859993,18.94249916,18.74399948,18.75200081,46060000,64.62352096,0.66837476,3999717.22267913,0.03889405,0.03899363,18.8434866,18.55385017,18.26421375,0.39845637,0.12623065,0.04340117,80.0,100.0,20.0
2014-03-18,18.86599922,18.95000076,18.75,18.93849945,49670000,69.18739488,0.6937665,4956748.19065371,0.00271838,0.02981462,18.8917341,18.62820015,18.3646662,0.37861081,0.15161155,0.06504325,85.0,100.0,15.0
2014-03-19,18.93849945,18.95000076,18.47100067,18.66150093,52934000,57.04288991,0.72001657,1389586.76467081,-0.12623333,0.00501602,18.89666332,18.63250027,18.36833721,0.38864974,0.14379214,0.08079303,85.0,95.0,10.0
2014-03-20,18.53199959,18.64999962,18.31100082,18.44849968,51170000,49.60364843,0.6167333,-844751.56071722,-0.15237422,-0.02065763,18.90302344,18.61655025,18.33007707,0.38483478,0.11707217,0.08804885,85.0,90.0,5.0
2014-03-21,18.54999924,18.6420002,17.92000008,18.03100014,108282000,38.63133524,0.49815013,-8910739.53739301,-0.13302219,-0.03439393,19.01328152,18.5593502,18.10541889,0.41855131,0.05911808,0.0822627,80.0,85.0,5.0
2014-03-24,18.00449944,18.07500076,17.43000031,17.59250069,97470000,30.70511924,0.28349202,-15061612.61389062,-0.34973067,-0.06122086,19.20395221,18.4659502,17.7279482,0.44119623,-0.02277201,0.06125576,-20.0,80.0,100.0
2014-03-25,17.70149994,17.94849968,17.44199944,17.73550034,88914000,35.50032368,0.06632522,-10011379.26673948,-0.03261312,-0.06501976,19.25441803,18.39540024,17.53638245,0.44772663,-0.0706167,0.03488127,-20.0,75.0,95.0
2014-03-26,17.85650063,17.87999916,17.17000008,17.1704998,82414000,27.2285029,-0.15505832,-16657301.94802766,-0.14667083,-0.06838282,19.38016639,18.25925026,17.13833413,0.47395387,-0.15372919,-0.00284082,-30.0,70.0,100.0
