Date,Open,High,Low,Close,Volume,rsi,stoch_rsi,stoch_rsi_d,stoch_rsi_k,stoch_osc,awesome_osc,force_index,ease_move,ease_move_signal,obv,adi,bbands_upper,bbands_middle,bbands_lower,atr,macd,macd_signal,aroon,aroon_up,aroon_down,adx,adx_neg,adx_pos,ema_50,ema_200,sma_50,sma_200
2014-10-09,98.31999969,98.56999969,96.70999908,96.86000061,62497100,43.20774799,0.22125159,0.23461238,0.2562971,22.70407667,-1.29744119,-10757363.04698192,0.68451062,-0.40630142,572080400,1186221974.8899267,100.61887948,98.5614994,96.50411933,1.32192472,-0.33824662,-0.10469216,-52.0,40.0,92.0,17.9183971,22.03432324,17.22127181,97.7733092,92.39511369,98.10879959,91.84814995
2014-10-10,96.29000092,96.83000183,94.41999817,94.44000244,77579400,35.13463528,0.0,0.25907784,0.2562971,0.36570874,-1.67461786,-36040883.46139536,-6.25959457,-0.70661144,494501000,1109930472.8955235,100.99416214,98.30949936,95.62483658,1.40178742,-0.5935443,-0.20246259,-64.0,36.0,100.0,19.10254126,30.96355005,15.0801307,97.64259128,92.41546084,98.09719971,91.88309998
2014-10-13,94.26999664,94.98999786,92.87999725,92.95999908,80835900,31.28477659,0.0,0.19544825,0.07375053,1.14125259,-2.36429517,-47983243.44701721,-4.41129026,-0.9833726,413665100,1035224447.9137833,101.58295655,98.03149948,94.48004241,1.45237407,-0.90486276,-0.34294262,-68.0,32.0,100.0,20.92767541,35.32424196,13.51525026,97.45896022,92.42087913,98.06299973,91.90919998
2014-10-14,93.54000092,94.16999817,92.70999908,92.97000122,71814500,31.33953248,0.00288681,0.11033663,0.00096227,3.74642716,-2.93382449,-41025880.32425432,-1.00633993,-1.13972477,485479600,988987941.2302204,101.82949826,97.71099968,93.5925011,1.45291872,-1.13766352,-0.5018868,-68.0,28.0,96.0,22.69400323,33.62453307,12.54517077,97.28292261,92.42634303,98.01599976,91.93645
2014-10-15,91.56999969,92.76000214,90.23999786,92.37000275,108847800,29.80522517,0.0,0.02522502,0.00096227,23.50997421,-3.88126569,-44494827.97956628,-4.49141354,-1.35096564,376631800,1064144865.3626812,101.98904056,97.35299988,92.7169592,1.54413905,-1.35495557,-0.67250055,-76.0,24.0,100.0,25.19094373,40.80398615,10.96091493,97.09025909,92.42578243,97.97159988,91.96135002
2014-10-16,90.41999817,92.58000183,90.38999939,91.79000092,93165800,28.35982758,0.0,0.00096227,0.00096227,17.10819166,-4.88226545,-45857900.35272464,-0.03525832,-1.31942879,283466000,1090095153.722816,101.95323874,96.92849998,91.90376123,1.59027215,-1.5560255,-0.84920554,-80.0,20.0,100.0,27.50953134,36.79026033,9.88273333,96.88240582,92.41945625,97.91699997,91.98050003
2014-10-17,93.0,93.88999939,92.45999908,93.0,69546700,35.3983119,0.32150123,0.03636387,0.10716708,30.46358229,-5.18358911,-27285136.96975048,3.47492915,-1.04866162,353012700,1073073311.9847014,101.67705638,96.57949982,91.48194325,1.62668117,-1.59930229,-0.99922489,-80.0,16.0,96.0,28.31642687,33.39774855,14.7237044,96.73015462,92.4252328,97.89259995,92.00915005
2014-10-20,92.98999786,94.47000122,92.80000305,94.38999939,41479300,42.39937471,0.64129314,0.14302027,0.32093146,48.70891367,-5.05991175,-15150660.01935121,1.85201775,-0.99585552,394492000,1110578451.9974933,101.3968493,96.34649963,91.29614997,1.62977524,-1.50409979,-1.10019987,-80.0,12.0,92.0,28.53105877,30.95331951,16.18804408,96.63838382,92.44478272,97.8823999,92.04790005
2014-10-21,95.55999756,96.87000275,95.31999969,96.87000275,53609800,52.32642402,1.0,0.36078777,0.65426479,77.8169197,-4.41935245,6006931.97834733,7.11251691,-0.26627488,448101800,1164188251.9974933,101.1845562,96.25099983,91.31744347,1.69050582,-1.21453518,-1.12306693,-80.0,8.0,88.0,26.91308082,27.70981286,24.63242066,96.64746692,92.48881476,97.91059998,92.10065006
2014-10-22,97.16999817,97.30000305,96.30999756,96.37000275,39178000,50.43903188,0.92124905,0.60979232,0.85418073,71.94837804,-3.27379357,2350370.26715485,1.79412679,0.06673453,408923800,1129759484.7466803,100.73005031,96.07750015,91.42494999,1.64047008,-1.0137135,-1.10119625,-80.0,4.0,84.0,25.13815088,26.51534396,25.44289387,96.63658597,92.52743354,97.92960007,92.14690006
